Predicate; Input array; Output array
IsPositive; [-0.7987664159658181, -0.7683077460213321, 0.24451013192347126]; [0.24451013192347126]
IsNotNaN; [0.8813367797676188, -0.3826122437415733, 0.23551643259557564, -0.7470351043986245, -0.14536637104125316, -0.09914092837115662, -0.7755549411556311, 0.47542498518589227, -0.7463891451749054]; [0.8813367797676188, -0.3826122437415733, 0.23551643259557564, -0.7470351043986245, -0.14536637104125316, -0.09914092837115662, -0.7755549411556311, 0.47542498518589227, -0.7463891451749054]
DivisibleByTwo; [-0.8861796057820137, 0.4525956168219951, -0.5252172845387526, -0.45542379777937425]; []
IsNotNaN; [-0.2271148252171813, -0.9332724187690595, -0.3928337245298301, 0.9135447869217508, -0.24536371365078757, NaN, 0.3617766630655135]; [-0.2271148252171813, -0.9332724187690595, -0.3928337245298301, 0.9135447869217508, -0.24536371365078757, 0.3617766630655135]
DivisibleByTwo; [-0.19343455233730888, 0.14052580582153973, 0.5833952467156247, -0.3245955842091661, -0.00789421807485935, 0.3476429269500949, 0.7603875712905199, -0.09105653321425011]; []
IsPositive; [0.845019258053104, 0.776611316520166, 0.7649924510366823, -0.2857659641059289, -0.641740179162104, -0.09485558472239974, -0.7564849863981475, -0.626916768413722, -0.4923520387468465]; [0.845019258053104, 0.776611316520166, 0.7649924510366823]
IsPositive; [-0.7344479861459832, -0.6001274470172504, -0.6436731240275246, -0.9733647690668985, 0.06675670321869576, -0.45482542127039016, 0.8293120427166476, -0.6078469347896345, -0.6438540009202498]; [0.06675670321869576, 0.8293120427166476]
DivisibleByTwo; [-0.6924856355174414, 0.6211952173355157, -0.12072723625225756, -0.43615109889626846, 0.005206580787498805, -0.2210332845571028, 0.9115447470698264, -0.968205496390071]; []
IsNotNaN; [-0.5379025780554016, 0.24312799718088463, -0.3844746996885213, NaN]; [-0.5379025780554016, 0.24312799718088463, -0.3844746996885213]
IsNotNaN; [-0.36853772646929417, 0.4104630668276634, -0.5178606372377312, NaN, -0.2046016100484811, -0.6096376716934115, 0.34416947697354594, 0.3392446685870041]; [-0.36853772646929417, 0.4104630668276634, -0.5178606372377312, -0.2046016100484811, -0.6096376716934115, 0.34416947697354594, 0.3392446685870041]
IsNotNaN; [0.8195096736068599, -0.385328791015326, NaN, -0.9994827500794732, 0.9680714028995001, 0.1270529732402954, -0.2682083183472155]; [0.8195096736068599, -0.385328791015326, -0.9994827500794732, 0.9680714028995001, 0.1270529732402954, -0.2682083183472155]
IsPositive; [0.33303763133695985, -0.8772459208594763, 0.35636970175369, 0.257985970794278, -0.8597025217606313, 0.8983746509839032]; [0.33303763133695985, 0.35636970175369, 0.257985970794278, 0.8983746509839032]
IsPositive; [0.4696018230735495, 0.12151093739101304, 0.9385535359598085, -0.8879637505710836, -0.4966586063308167]; [0.4696018230735495, 0.12151093739101304, 0.9385535359598085]
IsNotNaN; [0.5031618568866016, -0.654174706255275]; [0.5031618568866016, -0.654174706255275]
