Operator; Left array; Right array; Expected result
DoubleProductOfTwo; [-0.3282110416933477, -0.06832088137036663, -0.7240199855113805, 0.25083852409309526, -0.44724823194582686]; [-0.5307134475557791, -0.3290990205104962, -0.5964210518061073, 0.30382362619038195, -0.8134629765254391]; [0.1741860134629501, 0.022484335139401467, 0.4318207612873401, 0.07621066997820769, 0.3638198780043923]
DoubleSumSqrtsOfTwo; [-0.423347539776872, 0.15050097860133516, -0.08277158875166779]; [0.615416084138946, -0.026465385437854927]; [NaN, NaN]
DoubleSumSqrtsOfTwo; [0.98710547630476, 0.8660641148906458, 0.6415866703487894, 0.9347136889926975, 0.9085164373977732, 0.34939774019510317, 0.057126197344531615, -0.9538853259822877]; [0.7989196150863027, -0.47862938219647777, 0.5017698456622444, 0.1946328934554593, -0.610042547738886, 0.9890438423948624]; [1.887354852900641, NaN, 1.5093482006565242, 1.4079781022473956, NaN, 1.5856055904790605]
DoubleSumSqrtsOfTwo; [-0.40454477466321914, 0.17443198858263909, 0.41997781839238946, 0.5844153092324127, 0.7387916785074489, -0.6869503128190091, 0.5811106064245568]; [0.6992437433465073, -0.20559349646732827, 0.6334858170454072, 0.8587262764467192, 0.31701839063248705, -0.3390529803191844, -0.05460017055374844]; [NaN, NaN, 1.4439751787196125, 1.6911454565392057, 1.4225737792541548, NaN, NaN]
DoubleSumSqrtsOfTwo; [0.9479075852931254, -0.7153843788360785, -0.3871526971134145, 0.6979986238856293, -0.4258566770530776]; [-0.6631130487497152, -0.7972050061694667, 0.42914792310742467, 0.7505327652252387, -0.07937319700297873, 0.5101624721545366]; [NaN, NaN, NaN, 1.7017960607300564, NaN]
DoubleProductOfTwo; [-0.7903055108793131, -0.7286347491917922, 0.9600700061452554]; [-0.4325050156589785, -0.39106115147773934, 0.07202000815643372, -0.6357261182106737]; [0.3418110973582343, 0.2849407440256361, 0.06914424967332868]
DoubleSumSqrtsOfTwo; [-0.09152437977200734, 0.39665179948271767, -0.5222926809210688, -0.7025583782831963, 0.354616215328579]; [0.44898059801777146, -0.18134861290394033, 0.016447120540655558, -0.605749710240733, -0.859955695243592, 0.40689326092947553, -0.574474970212381, -0.19376665900798473]; [NaN, NaN, NaN, NaN, NaN]
DoubleSumOfTwo; [0.8779710636394198]; [-0.550029961463461, 0.4062921531591477, -0.4579169258884397, 0.3835820377565766, -0.880695207875245, 0.4519700128958879]; [0.32794110217595884]
DoubleSumOfTwo; [0.30412066862888665, -0.188118453015224, -0.3037801480951521]; [-0.8321187168183504, -0.256497753557275, 0.8809648853749805, 0.4860643255736061, 0.7959960893181413, 0.7508577980901567, 0.7999086646892788]; [-0.5279980481894637, -0.444616206572499, 0.5771847372798284]
DoubleSumSqrtsOfTwo; [-0.9789757035960578, 0.07950677849907217, -0.07641687720106871, -0.023338305016683547]; [-0.03523672946611267, -0.49588602580957497, 0.9676583354084252]; [NaN, NaN, NaN]
