First operator; Second operator; Init; Left array; Right array; Expected result
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.026155934174615814, -0.9770951364754175, 0.9404019745820313, -0.8465327533431766, 0.825987427525416]; [0.45205369021628883]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [-0.1869267756362083, -0.8672589010273368, 0.02856395013745283]; [-0.8283901604791919, -0.8980601428135375, 0.44373348494601794, 0.020567139089348263, 0.7463821295539022, -0.8192784358309215]; 8.46526238636668
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.3353824249966675, 0.44025866220204724, 0.7873475727348667, -0.9490762230371972, 0.03940637597933283, -0.9364570304040363, 0.5942686867348861, -0.20746154090574231, -0.2376469231977525]; [-0.5116162850337669, -0.9990883175926519, -0.05497875943003194]; NaN
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [-0.13449151637833778]; [-0.5325767133316968, -0.31901758373676126]; 9.332931770289965
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [-0.29784799936357276, -0.9574582738687696, 0.20698146333471512, -0.145460721463484, -0.6233505860656869, -0.6073476628153289, 0.17912517510274162, 0.32878097052458033, -0.024822746587937816]; [-0.3126238789753717, -0.9654832995754719, 0.11374946983802747, -0.0783548692143754, -0.15790260894597896, 0.057263820170255775]; NaN
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [-0.5273719286405563]; [-0.02352772068511455, -0.371294875039875, -0.7309898690627923]; NaN
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [-0.8020445429771517, 0.2217480070619453, -0.9962777792514534, -0.23197932696162882, -0.8507832442138774, 0.6169893134159155, 0.07662670696923413, -0.8199679300407203, -0.35608560279636103]; [0.07745986072289512, -0.29402555564808464, 0.20115340600099874, -0.8366392921376684, 0.2867828047545311, 0.9863249416440905, -0.8708809194196467, -0.9839238965533854, -0.47215766734044107]; 4.9523192832291905
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.5231398793501507, -0.992290042601768, 0.09581638355570754, 0.7007375029337735, -0.07702165966364638, 0.5501761519593908, 0.6778939457152917, 0.39381562511854185, -0.5649636204878592]; [-0.6389909668366158, -0.6834019233003683, 0.383578437779172, -0.38619842591961295, 0.14142634146689947, -0.6618400440037204]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [-0.7384792251310985, 0.9500685739165431, -0.45755005397538073, -0.8321510839735367, 0.020725898468509252, -0.02371591326507483, -0.8795289661234176, -0.21357289847782535, -0.6176921142087566]; [-0.88908469317758]; -16.275639183086785
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [0.453713756967109, 0.9803298966511851, 0.40155745310690705, 0.9116869585208129]; [-0.10597700544606692, -0.26841928601944187, -0.5340875748067, 0.5417032034365159]; -0.4768402110387118
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [0.6569188831051265, -0.9124107047523857, 0.18163986183490888, 0.6528613843385844, 0.993874788470025, 0.15762205352531433, -0.15661666526537288, -0.3961455904502946, -0.9557070869474049]; [-0.49812398229718235, -0.8095068818409641, 0.955450708188748, -0.36933497488995837, -0.8892739300149248, 0.9763238234683576, -0.4763708813792451]; 9.688469931844454
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.2610760719480454, 0.4158576340676412, -0.4885509009365363, 0.9215391545611267]; [-0.28299513300564927]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [-0.668363704618474, -0.21099148062315565, -0.5158543834523592, 0.3281529954440541, 0.1942074393505271, -0.9398322112508086]; [-0.25519126381987145, -0.28847230598466034, 0.6474590046581843, -0.2000609758991374, -0.7790596594824548, -0.9688287927552612, -0.9808784815100469, 0.8883728264024549]; 0.08680303499781178
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [-0.8337319100801026, -0.8645763390467582, 0.5369193850172915, -0.47059951074324147, -0.8398696038274032, 0.902382885707361]; [0.8538294536980902, -0.06063049324846914, 0.9296144669564843, -0.8869774380851876, 0.7831419252712319, 0.15958157196560374, 0.6382414318138276]; 10.209084393584899
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [-0.32790171606660157, 0.8881603826679094, -0.5180923456340678, -0.9747072965232046, 0.7879866645522751, 0.6280180487281861, -0.07617944809848942]; [-0.7572374162764883]; 8.91486086765691
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.32611759712549926, 0.13022749449337234, -0.05104882574620295]; [-0.9876877360989977]; NaN
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [-0.03332329571101744, -0.6577771715105993, -0.7984604944528246]; [0.812491853264359, 0.025769180411470582, -0.6917072536992597]; 10.508275630912992
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [-0.5920820038875019, -0.7931137127536971]; [0.8402530739382437, -0.37505611681641216, 0.7954300501206983, 0.13673385335314525, -0.5300354810095758]; 9.080001240480632
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.7468753791789577, -0.611048157740756, -0.9730462863124454, 0.13707475819182502, -0.25261548446674476, 0.36745209092575437, 0.8924125548103521, -0.6991680326389167]; [-0.6188344753311781, 0.29778880643979644, 0.281648317634543, -0.4430410128622646, 0.8541036404355136, 0.5102088610717432]; NaN
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [-0.1418382102527347, 0.6544922951217913, 0.573806256881483, -0.8602188280801186, -0.30522387328724476, 0.8388632493129726, 0.33625568253925553, 0.4302600598450246]; [0.9444554421375295, -0.5414614521594625, 0.8981063202791353]; NaN
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.781640964319094, -0.5486357367941173, 0.31355304078218826, 0.6907916936002256, -0.280063576618651]; [-0.9211595745386869, 0.5777819938858437, 0.5517458004036788, 0.4774657420976838, -0.9436563142752792, 0.29281742288162604]; NaN
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [-0.2203147876774154, -0.8057826001898616]; [0.4853347799004353, 0.4098275746876585, 0.5650377573477583, -0.11439095434978697]; 9.562841642252444
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [0.29442795868985416, -0.8532054418747654, 0.9032452941602214, 0.26923506880563575, 0.39705299059480903, -0.967959117361157, 0.46780792534118065, -0.6970417983684303]; [-0.41974892126423535, 0.4209707721272653, -0.39842165866105606, 0.8589663204422804, -0.2588782911952616]; NaN
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.49853091427140317, 0.5789547680902221, -0.656818290245766, 0.4878264409202646, -0.1555858065488307, 0.5982624271715067, 0.2666760905626233]; [0.8349476645650409, 0.4092787320892377, -0.41724671035614946, -0.2144910466142378, -0.25161036887981725]; NaN
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.41919310823186806, 0.8002956406184716, 0.04767424870042536, 0.6329009079720493, 0.2912723022047208, 0.5559639218488961]; [-0.17939543450648388, 0.5056874404215939, -0.42616303143358625, 0.7683816832308696, 0.31994814600571075, 0.5624754210092027, 0.9960466058750859, -0.8901900373260001]; NaN
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [0.42010011675979353, -0.8822241972133193, 0.3385137608356117, -0.4283855022526024, -0.5007661784542337, 0.4889898347209287, -0.3876446165764631]; [-0.1891144727856935, 0.05634538290858626]; 0.03949252196758388
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [0.2943890071020323, 0.049968103705331, 0.4406251455809531, -0.06491175304210528]; [0.847890606564915, -0.9427618795444288, -0.45494327430248904, -0.5010579482177868, -0.14105751744088124, -0.7186992322410992]; NaN
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [-0.8667470342130117, 0.4245247882640437, -0.5162796221486918, -0.07352171497694204, 0.9884183432276077, -0.08537797709907413, 0.9242321790239978, -0.7579589680972219]; [-0.5731964974084174, -0.9202249156130167, 0.2348137617908077, 0.7089531306131278]; 8.4183218963079
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [-0.15063104089562773]; [0.9970327577123874, -0.2291075609843578, -0.13122186501674915]; -1.5018408210125511
