First operator; Second operator; Third operator; Left value; Right value; Expected result
DoubleProductOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; -0.89751885313332; 0.7608909304419584; -1.3658279104996227
DoubleSumOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; -0.6382516689963456; 0.8302374244752413; 0.03685853030680234
DoubleSumOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; -0.5036164652059563; -0.7168401596775362; 1.489514373222006
DoubleProductOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; -0.8440188917716833; -0.5437576210717114; 0.9178834094587056
DoubleSumOfTwo; DoubleSumOfTwo; DoubleSumOfTwo; -0.13897998321947447; -0.7789031918297997; -1.8357663500985484
DoubleSumOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; -0.24848016325201883; 0.35139348447254504; 0.01059115168463921
DoubleProductOfTwo; DoubleSumOfTwo; DoubleSumOfTwo; 0.3957337520632238; 0.8033822978927265; 1.5170415410422136
DoubleProductOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; 0.45535696507654433; -0.018364278207043228; -0.016724603980361054
DoubleProductOfTwo; DoubleSumOfTwo; DoubleSumOfTwo; -0.425713731504646; -0.449719463405585; -0.6839814440135723
DoubleSumOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; -0.7743215798756296; -0.9600108698883316; -0.9909753162942508
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 0.7167187339648791; 0.9486577404996954; 2.698579664515571
DoubleSumOfTwo; DoubleProductOfTwo; DoubleSumOfTwo; 0.35778331737812397; 0.5257932851431912; 1.071696668334988
DoubleProductOfTwo; DoubleSumOfTwo; DoubleSumOfTwo; -0.7574519619030795; -0.9404072176879548; -0.9855458875654766
DoubleProductOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; -0.2717787541222161; -0.6103480804733736; -0.1463268825438598
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 0.8556494287740024; 0.2192858656901926; 1.6135431778516738
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 0.4633670894829194; 0.7122682228218278; 3.049341140956545
DoubleProductOfTwo; DoubleSumOfTwo; DoubleProductOfTwo; 0.5367389971489605; 0.5633362612410631; 0.3326237493762646
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 0.7238452117965632; 0.6141282957105763; 1.9451914872834344
DoubleSumOfTwo; DoubleSumOfTwo; DoubleSumOfTwo; 0.6841343625543941; -0.7059584080432999; -0.04364809097781164
DoubleProductOfTwo; DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 0.68210042373987; 0.8605004597903172; 1.5322502775347484
DoubleProductOfTwo; DoubleProductOfTwo; DoubleProductOfTwo; -0.522417520903937; 0.25892790749254946; 0.01829756047088502
