Predicate; Input; Output
DivisibleByTwo; [0.9435262716803037, 0.4021261093615309, -0.16013275305673158, 0.31135794713073706, 0.4234623961742139, -0.6154490439389257, -0.09089671025920687, 0.45772091058408226, -0.1280116497600423, 0.460751742890648]; []
IsPositive; [0.379063080869958, 0.24702638551971035, -0.14123984049522909, -0.803091244338336, 0.7194263805828531, -0.9905811091705203, -0.058516694749213505, 0.4313835696870445, -0.5217304719218985, -0.9393506023063307]; [0.379063080869958, 0.24702638551971035, 0.7194263805828531, 0.4313835696870445]
DivisibleByTwo; [-0.5284286295091174, 0.23126157647162282, 0.34232994205287604, -0.8182755346858386, 0.7334331298882972, 0.9667168705028342, -0.8053751030857641, 0.04831712542244615, 0.2004070982351418, -0.7484480427121343]; []
IsNotNaN; [-0.4723594709835779, NaN, 0.7938792394074559, -0.6325952311920278, -0.16992890764544955, -0.15484596245793525, -0.05186442235225308, NaN, NaN, 0.8788832298857638]; [-0.4723594709835779, 0.7938792394074559, -0.6325952311920278, -0.16992890764544955, -0.15484596245793525, -0.05186442235225308, 0.8788832298857638]
IsPositive; [-0.9879836013447492, -0.623987112152788, 0.8210268555093332, -0.5955147184140381, -0.9405457517805387, -0.4854220571720187, 0.38914004353516485, 0.49588240589043564, 0.5344941800254288, 0.788967404199123]; [0.8210268555093332, 0.38914004353516485, 0.49588240589043564, 0.5344941800254288, 0.788967404199123]
IsNotNaN; [0.5798430908373615, -0.5233638177973563, -0.6775898183261908, -0.5273341561519802, NaN, 0.3226464664635986, -0.18295340229142898, 0.05055880237584631, -0.48539670192932016, 0.376428623272576]; [0.5798430908373615, -0.5233638177973563, -0.6775898183261908, -0.5273341561519802, 0.3226464664635986, -0.18295340229142898, 0.05055880237584631, -0.48539670192932016, 0.376428623272576]
IsNotNaN; [0.34553038254199353, 0.9514189846634957, -0.32663612820605503, NaN, -0.08498612040095477, NaN, NaN, 0.32843567390188744, -0.33787469910140633, -0.4575588724480737]; [0.34553038254199353, 0.9514189846634957, -0.32663612820605503, -0.08498612040095477, 0.32843567390188744, -0.33787469910140633, -0.4575588724480737]
IsPositive; [-0.9938328946864572, 0.21530246764155536, -0.38568185970090507, -0.6129530418083327, -0.7973341373943872, -0.8209419687070907, -0.5866725861694422, 0.6207067513948512, -0.8742397188701418, 0.9755316724246661]; [0.21530246764155536, 0.6207067513948512, 0.9755316724246661]
IsPositive; [0.5044557691921823, -0.534091731802633, 0.4570751657059422, 0.7644838343842313, 0.9614279317554815, -0.11349796062628692, 0.19995314393751218, 0.01738573988250325, 0.5950687291595262, -0.9112674192229673]; [0.5044557691921823, 0.4570751657059422, 0.7644838343842313, 0.9614279317554815, 0.19995314393751218, 0.01738573988250325, 0.5950687291595262]
DivisibleByTwo; [0.8026559209593509, -0.2764050704780252, -0.7149264691348274, 0.5652022911017669, 0.1967055625185652, -0.554964880444951, -0.42234219657062955, -0.2944899544065802, 0.024597040730544695, -0.9551179489742039]; []
